Date,Sell
2021-05-17,28532.95
2021-05-18,28733.5
2021-05-19,28749.96
2021-05-20,28705.27
2021-05-21,28752.31
2021-05-22,28752.31
2021-05-23,28752.31
2021-05-24,28694.19
2021-05-25,28750.66
2021-05-26,28809.49
2021-05-27,28674.69
2021-05-28,28660.58
2021-05-29,28660.58
2021-05-30,28660.58
2021-05-31,28656.72
2021-06-01,28748.43
2021-06-02,28741.38
2021-06-03,28645.8
2021-06-04,28493.58
2021-06-05,28493.58
2021-06-06,28493.58
2021-06-07,28502.55
2021-06-08,28548.72
2021-06-09,28518.27
2021-06-10,28486.41
2021-06-11,28517.56
2021-06-12,28517.56
2021-06-13,28517.56
2021-06-14,28334.89
2021-06-15,28435.59
2021-06-16,28384.07
2021-06-17,28080.14
2021-06-18,27993.33
2021-06-19,27993.33
2021-06-20,27993.33
2021-06-21,27883.34
2021-06-22,27956.55
2021-06-23,28043.08
2021-06-24,27999.95
2021-06-25,28028.55
2021-06-26,28028.55
2021-06-27,28028.55
2021-06-28,28005.49
2021-06-29,27993.75
2021-06-30,27953.81
2021-07-01,27819.58
2021-07-02,27793.41
2021-07-03,27793.41
2021-07-04,27793.41
2021-07-05,27835.66
2021-07-06,27838.0
2021-07-07,27746.79
2021-07-08,27686.02
2021-07-09,27776.98
2021-07-10,27776.98
2021-07-11,27776.98
2021-07-12,27852.8
2021-07-13,27878.64
2021-07-14,27781.34
2021-07-15,27951.57
2021-07-16,27866.29
2021-07-17,27866.29
2021-07-18,27866.29
2021-07-19,27854.79
2021-07-20,27807.84
2021-07-21,27819.65
2021-07-22,27826.46
2021-07-23,27776.62
2021-07-24,27776.62
2021-07-25,27776.62
2021-07-26,27760.11
2021-07-27,27854.49
2021-07-28,27833.98
2021-07-29,27893.24
2021-07-30,27963.1
2021-07-31,27963.1
2021-08-01,27963.1
2021-08-02,27927.8
2021-08-03,27937.21
2021-08-04,27903.87
2021-08-05,27835.65
2021-08-06,27790.61
2021-08-07,27790.61
2021-08-08,27790.61
2021-08-09,27623.66
2021-08-10,27561.7
2021-08-11,27401.65
2021-08-12,27446.41
2021-08-13,27486.86
2021-08-14,27486.86
2021-08-15,27486.86
2021-08-16,27623.02
2021-08-17,27571.5
2021-08-18,27418.34
2021-08-19,27345.83
2021-08-20,27339.1
2021-08-21,27339.1
2021-08-22,27339.1
2021-08-23,27389.55
2021-08-24,27478.5
2021-08-25,27434.39
2021-08-26,27478.07
2021-08-27,27494.81
2021-08-28,27494.81
2021-08-29,27494.81
2021-08-30,27548.15
2021-08-31,27617.79
2021-09-01,27619.09
2021-09-02,27619.09
2021-09-03,27619.09
2021-09-04,27619.09
2021-09-05,27619.09
2021-09-06,27701.85
2021-09-07,27727.03
2021-09-08,27662.15
2021-09-09,27622.46
2021-09-10,27608.45
2021-09-11,27608.45
2021-09-12,27608.45
2021-09-13,27559.41
2021-09-14,27568.75
2021-09-15,27575.32
2021-09-16,27577.66
2021-09-17,27477.69
2021-09-18,27477.69
2021-09-19,27477.69
2021-09-20,27350.6
2021-09-21,27384.29
2021-09-22,27360.6
2021-09-23,27278.92
2021-09-24,27400.28
2021-09-25,27400.28
2021-09-26,27400.28
2021-09-27,27346.6
2021-09-28,27286.23
2021-09-29,27262.58
2021-09-30,27080.53
2021-10-01,27003.51
2021-10-02,27003.51
2021-10-03,27003.51
2021-10-04,27080.53
2021-10-05,27099.2
2021-10-06,27059.53
2021-10-07,26975.51
2021-10-08,26970.84
2021-10-09,26970.84
2021-10-10,26970.84
2021-10-11,26987.17
2021-10-12,26942.66
2021-10-13,26928.83
2021-10-14,27064.19
2021-10-15,27129.36
2021-10-16,27129.36
